 m | n | NormConst
0 | 0 | 0.31831
0 | 1 | -1.25868e+15
0 | 2 | 0.159155
0 | 3 | 8.19101e+13
1 | 0 | -1.25868e+15
1 | 1 | 4.97712e+30
1 | 2 | -6.29339e+14
1 | 3 | -3.23893e+29
2 | 0 | 0.159155
2 | 1 | -6.29339e+14
2 | 2 | 0.0795775
2 | 3 | 4.0955e+13
3 | 0 | 8.19101e+13
3 | 1 | -3.23893e+29
3 | 2 | 4.0955e+13
3 | 3 | 2.10778e+28
