Order | Stepsize (1eX) | Bounds (1eX) | Integral | Error | NormConst 
1 | 4 | -5 | -7.06012e-25 | -7.06012e-25 | -1.41641e+24
1 | 4 | -4 | -8.3752e-24 | -8.3752e-24 | -1.194e+23
1 | 4 | -3 | -5.1669e-20 | -5.1669e-20 | -1.9354e+19
1 | 4 | -2 | -1.42344e-18 | -1.42344e-18 | -7.02524e+17
1 | 4 | -1 | -5.8816e-18 | -5.8816e-18 | -1.70022e+17
1 | 4 | 0 | -2.73578e-17 | -2.73578e-17 | -3.65527e+16
1 | 4 | 1 | -3.35045e-16 | -3.35045e-16 | -2.98467e+15
1 | 4 | 2 | -2.50525e-16 | -2.50525e-16 | -3.99162e+15
1 | 4 | 3 | 4.22643e-13 | 4.22643e-13 | 2.36606e+12
1 | 4 | 4 | 0 | 0 | inf
1 | 4 | 5 | 0 | 0 | inf
1 | 4 | 6 | 0 | 0 | inf
1 | 4 | 7 | 0 | 0 | inf
1 | 4 | 8 | 0 | 0 | inf
1 | 4 | 9 | 0 | 0 | inf
1 | 4 | 10 | 0 | 0 | inf
1 | 5 | -6 | -8.91255e-27 | -8.91255e-27 | -1.12201e+26
1 | 5 | -5 | 7.32063e-27 | 7.32063e-27 | 1.366e+26
1 | 5 | -4 | 1.66231e-22 | 1.66231e-22 | 6.01573e+21
1 | 5 | -3 | 9.70324e-21 | 9.70324e-21 | 1.03058e+20
1 | 5 | -2 | -1.56055e-18 | -1.56055e-18 | -6.40799e+17
1 | 5 | -1 | 2.55684e-19 | 2.55684e-19 | 3.91108e+18
1 | 5 | 0 | -1.27002e-17 | -1.27002e-17 | -7.87391e+16
1 | 5 | 1 | -2.02822e-17 | -2.02822e-17 | -4.93044e+16
1 | 5 | 2 | -4.66483e-15 | -4.66483e-15 | -2.1437e+14
1 | 5 | 3 | -2.16999e-15 | -2.16999e-15 | -4.60831e+14
1 | 5 | 4 | 6.76126e-12 | 6.76126e-12 | 1.47901e+11
1 | 5 | 5 | 0 | 0 | inf
1 | 5 | 6 | 0 | 0 | inf
1 | 5 | 7 | 0 | 0 | inf
1 | 5 | 8 | 0 | 0 | inf
1 | 5 | 9 | 0 | 0 | inf
1 | 5 | 10 | 0 | 0 | inf
1 | 6 | -6 | 1.07942e-26 | 1.07942e-26 | 9.26421e+25
1 | 6 | -5 | -1.92671e-25 | -1.92671e-25 | -5.19018e+24
1 | 6 | -4 | -1.21699e-22 | -1.21699e-22 | -8.217e+21
1 | 6 | -3 | 1.22198e-20 | 1.22198e-20 | 8.18342e+19
1 | 6 | -2 | -1.30917e-18 | -1.30917e-18 | -7.63841e+17
1 | 6 | -1 | 3.86311e-18 | 3.86311e-18 | 2.58859e+17
