Escape | x | y | step | ave velocity 
1 | 327 | 0 | 112700 | 0.00290151
2 | 330 | 0 | 73987 | 0.00446024
3 | 1000 | 707 | 95223 | 0.0128612
4 | 846 | 0 | 90809 | 0.00931626
5 | 1000 | 753 | 124840 | 0.0100273
6 | 0 | 480 | 114490 | 0.00419251
7 | 1000 | 319 | 135156 | 0.0077662
8 | 1000 | 716 | 122260 | 0.0100597
9 | 1000 | 766 | 116361 | 0.0108255
10 | 684 | 0 | 134697 | 0.00507806
