Time t / min,Angle &J / °,Level A,Voltage U / mV,Level a / dB
0.00335,-180,0.175681530047982,0.648144,-15.1054778970019
0.01335,-178,0.167812395251364,0.591381,-15.5035192741448
0.025,-176,0.154880599172395,0.503748,-16.2000595983426
0.0416666666666667,-174,0.141159519693147,0.41844621,-17.0057965606436
0.0516666666666667,-172,0.126239890684363,0.33466671,-17.9760678041124
0.0616666666666667,-170,0.101041179723913,0.21439572,-19.9100318348434
0.0733333333333333,-168,0.0919676573584431,0.17761905,-20.7272975183751
0.09,-166,0.0743229439675259,0.1160019,-22.5775419212116
0.1,-164,0.0695435115593108,0.1015623,-23.1548676730185
0.111666666666667,-162,0.0779602462797547,0.1276338,-22.1625359519479
0.128333333333333,-160,0.0939831367852765,0.18548943,-20.5390012807916
0.13835,-158,0.108991146429423,0.24946047,-19.2521755848597
0.15,-156,0.133319353433776,0.37325505,-17.5021360245662
0.160016666666667,-154,0.153533872484218,0.49502565,-16.2759159203297
0.176683333333333,-152,0.170067633604987,0.607383,-15.3875666241923
0.186683333333333,-150,0.188520555908368,0.74634,-14.4928257653072
0.19835,-148,0.206322562992999,0.893949,-13.7090655183327
0.20835,-146,0.221002262431858,1.025682,-13.1120656071446
0.220016666666667,-144,0.23362576912661,1.146201,-12.6295851171296
0.230016666666667,-142,0.244703902706925,1.25748,-12.2271820832899
0.240016666666667,-140,0.251598887119955,1.329342,-11.9858256841484
0.251683333333333,-138,0.25832537622154,1.401372,-11.7566585887547
0.261666666666667,-136,0.262672800266796,1.448937,-11.6116979204202
0.271683333333333,-134,0.265175413641612,1.476678,-11.5293349005766
0.283333333333333,-132,0.264662048658284,1.470966,-11.5461666020016
0.29335,-130,0.261916017074176,1.4406,-11.6367588429325
0.305,-128,0.254179070735574,1.356747,-11.8972042478083
0.315,-126,0.247971772587123,1.29129,-12.1119550695535
0.325016666666667,-124,0.239267632579085,1.202229,-12.4223209498414
0.336683333333333,-122,0.227459886573435,1.086498,-12.8619036351572
0.346683333333333,-120,0.214818528064969,0.969087,-13.3585652704966
0.356666666666667,-118,0.202792997906732,0.863625,-13.8589408904197
0.368333333333333,-116,0.192416215532891,0.777504,-14.3151666272834
0.37835,-114,0.180130508243329,0.681387,-14.8882545121107
0.38835,-112,0.164602551620563,0.568974,-15.6712687353132
0.406666666666667,-110,0.150766408725551,0.47734071,-16.433908199855
0.416666666666667,-108,0.134628414534228,0.38062101,-17.4172653738506
0.426666666666667,-106,0.118186885905332,0.29333094,-18.5486142076603
0.438333333333333,-104,0.102185615426047,0.2192799,-19.8122047025728
0.455,-102,0.0822885168173543,0.1421994,-21.6932153081021
0.465016666666667,-100,0.0655842969010113,0.0903273,-23.664002659321
0.476683333333333,-98,0.0534640065838691,0.0600264,-25.4387699680562
0.493333333333333,-96,0.0478851751589153,0.04815279,-26.3959783927542
0.50335,-94,0.0510705394528,0.0547722,-25.8365910942552
0.513333333333333,-92,0.0526852920652434,0.05829054,-25.566212161183
0.531666666666667,-90,0.0642868571326986,0.0867888,-23.8375561117076
0.541683333333333,-88,0.0760789064064409,0.121548,-22.37471477553
0.558333333333333,-86,0.102866758479112,0.22221297,-19.7544989073645
0.570016666666667,-84,0.123482549374395,0.32020674,-18.1678882563283
0.579983333333333,-82,0.146106331142767,0.44828826,-16.7066192924305
0.59,-80,0.161506098956046,0.54776862,-15.8362214551476
0.608333333333333,-78,0.177535911860108,0.661899,-15.0142756977929
0.618333333333333,-76,0.189615400218442,0.755034,-14.4425278591279
0.628333333333333,-74,0.203386331890813,0.868686,-13.833564723826
0.64,-72,0.21247823417941,0.948087,-13.4537110308542
0.65,-70,0.230117361361545,1.112034,-12.7610122890276
0.660016666666667,-68,0.235983050238783,1.169448,-12.5423837924727
0.671683333333333,-66,0.258406656261018,1.402254,-11.7539260720376
0.681683333333333,-64,0.267114207783862,1.49835,-11.4660602254933
0.691666666666667,-62,0.273811979285056,1.574433,-11.2509511077082
0.703333333333333,-60,0.277899262323598,1.621788,-11.1222521208913
0.713333333333333,-58,0.28692507732856,1.728846,-10.8446298528239
0.723333333333333,-56,0.284082734427842,1.694763,-10.9311032080173
0.735,-54,0.287311677451509,1.733508,-10.8329344450277
0.745,-52,0.289494386819503,1.759947,-10.7671970530279
0.756683333333333,-50,0.280577974901809,1.653204,-11.0389284732832
0.766666666666667,-48,0.274158713157178,1.578423,-11.2399589411909
0.776683333333333,-46,0.273726140512739,1.573446,-11.2536745203152
0.788333333333333,-44,0.263784002547539,1.461222,-11.5750309245419
0.798333333333333,-42,0.248147133773493,1.293117,-12.1058147352284
0.808333333333333,-40,0.234,1.149876,-12.6156828517971
0.82,-38,0.215318368933075,0.973602,-13.3383783737133
0.830016666666667,-36,0.199130610404327,0.832713,-14.0172394998172
0.84,-34,0.187539329208569,0.738591,-14.5381528342295
0.851666666666667,-32,0.175781113888836,0.648879,-15.100555756402
0.861683333333333,-30,0.17042593699317,0.609945,-15.3692861918775
0.873333333333333,-28,0.164648109615628,0.569289,-15.6688650243028
0.88335,-26,0.169162643630324,0.600936,-15.4339107285909
0.893333333333333,-24,0.16803571049036,0.592956,-15.4919682677635
0.905,-22,0.167263265542677,0.587517,-15.5319885715291
0.915,-20,0.171991278848667,0.621201,-15.2898714855613
0.925016666666667,-18,0.176476627347646,0.654024,-15.0662560928989
0.936683333333333,-16,0.182770347704435,0.701505,-14.7618852391028
0.946683333333333,-14,0.192449993504806,0.777777,-14.3136419845369
0.956683333333333,-12,0.207961534904895,0.908208,-13.6403397164535
0.968333333333333,-10,0.21472307747422,0.968226,-13.3624255406082
0.978333333333333,-8,0.223069495897579,1.04496,-13.0311962831724
0.99,-6,0.227872771519548,1.090446,-12.8461513099315
1,-4,0.238170107276291,1.191225,-12.4622549544303
1.01001666666667,-2,0.232482257387526,1.135008,-12.6722037210909
1.02166666666667,0,0.228057010416255,1.09221,-12.8391314622517
1.03166666666667,2,0.220056810846654,1.016925,-13.1493037060885
1.04168333333333,4,0.209854711645938,0.924819,-13.561625511765
1.05335,6,0.199832429800571,0.838593,-13.9866806184412
1.06335,8,0.192382431630334,0.777231,-14.3166918054621
1.07335,10,0.180839708028961,0.686763,-14.8541240563684
1.08501666666667,12,0.172302060347519,0.623448,-15.2741905865927
1.095,14,0.172626765016321,0.6258,-15.2578373592374
1.10666666666667,16,0.169958818541434,0.606606,-15.3931259308831
1.11666666666667,18,0.170540317813706,0.610764,-15.3634586402817
1.12668333333333,20,0.173758453031788,0.634032,-15.2010811717914
1.13835,22,0.186574381949934,0.73101,-14.5829597671571
1.14833333333333,24,0.200698779268834,0.84588,-13.9491053811842
1.15833333333333,26,0.214294190308557,0.964362,-13.379792057571
1.17,28,0.226587731353664,1.078182,-12.8952721762706
1.18,30,0.236784712344357,1.177407,-12.5129268125307
1.19,32,0.24700607279984,1.281252,-12.1458473841153
1.20166666666667,34,0.254621287405433,1.361472,-11.8821058065583
1.21166666666667,36,0.263129245808975,1.453977,-11.5966175812293
1.22166666666667,38,0.269783246329345,1.528443,-11.3797004745006
1.23333333333333,40,0.27357448711457,1.571703,-11.2584881260264
1.24333333333333,42,0.277295870867202,1.614753,-11.141131946556
1.255,44,0.278978493794773,1.634409,-11.0885854962667
1.265,46,0.278797417491626,1.632288,-11.0942250687496
1.275,48,0.274215243923455,1.579074,-11.2381681194626
1.28666666666667,50,0.269905539031714,1.529829,-11.3757640542402
1.29666666666667,52,0.263905286040276,1.462566,-11.5710382149145
1.30666666666667,54,0.260840947705685,1.428798,-11.6724846110488
1.31833333333333,56,0.247107264158705,1.282302,-12.1422897509895
1.32833333333333,58,0.239234194880247,1.201893,-12.4235348894574
1.33833333333333,60,0.230610060491731,1.116801,-12.7424350058101
1.35001666666667,62,0.215093003140502,0.971565,-13.3474743349652
1.36,64,0.201730017597778,0.854595,-13.9045894718272
1.37166666666667,66,0.188382589429066,0.745248,-14.4991847553093
1.3817,68,0.170906407135602,0.613389,-15.3448331128787
1.39166666666667,70,0.156352166598356,0.513366,-16.1179219257486
1.41,72,0.139233472986922,0.40710516,-17.1251268769885
1.42,74,0.119727607509713,0.3010287,-18.4361139164027
1.43001666666667,76,0.101403353001762,0.21593544,-19.8789536878076
1.44666666666667,78,0.0832856530261965,0.1456665,-21.5885960938789
1.45833333333333,80,0.071031683071711,0.1059555,-22.9709578949027
1.46833333333333,82,0.0633482438588474,0.084273,-23.9653084026616
1.47833333333333,84,0.0574699921698272,0.0693588,-24.8111772407613
1.49,86,0.0518671379584415,0.0564942,-25.7021543164533
1.5,88,0.0540481267020421,0.0613452,-25.3443870803059
1.51166666666667,90,0.0597226925046083,0.0749028,-24.4772124203017
1.52166666666667,92,0.0699814261072179,0.1028454,-23.1003442310078
1.53166666666667,94,0.0817331022291458,0.1402863,-21.7520403371921
1.55,96,0.0923072044858905,0.17893302,-20.6952880279408
1.56,98,0.105906090476422,0.2355381,-19.5015812729694
1.57,100,0.126082076442292,0.33383049,-17.9869329482319
