Time t / min,Angle &J / °,Level A,Voltage U / mV,Level a / dB
0.00335,-180,0.377270088928343,2.98898712,-8.46695251131567
0.015,-178,0.376297222950157,2.9735916,-8.48937973468553
0.0250166666666667,-176,0.37412436434961,2.93934984,-8.53968016065301
0.035,-174,0.370602536418735,2.88427104,-8.62183225355932
0.0466666666666667,-172,0.367094265822827,2.8299222,-8.70444798635473
0.0566666666666667,-170,0.363752003430909,2.77862592,-8.7838921208579
0.0666666666666667,-168,0.360212104183077,2.72480796,-8.86883395406121
0.07835,-166,0.35554999648432,2.6547318,-8.98198642636039
0.08835,-164,0.349463188333192,2.56461492,-9.13197130227201
0.100016666666667,-162,0.34620629688092,2.5170348,-9.21330074678806
0.11,-160,0.340463096384909,2.43421752,-9.3585991085023
0.12,-158,0.334267019013243,2.34642324,-9.51812943298
0.131666666666667,-156,0.325744746695937,2.22830244,-9.74245158901442
0.141683333333333,-154,0.320611353510758,2.15862444,-9.88042204888471
0.151683333333333,-152,0.311396467545796,2.03632296,-10.133726366769
0.16335,-150,0.303544527211413,1.93492488,-10.3555518575871
0.173333333333333,-148,0.294761259326934,1.8245682,-10.610591933637
0.183333333333333,-146,0.285713632856397,1.71427788,-10.8813807343087
0.195,-144,0.277550860204035,1.61772408,-11.1331484467154
0.211683333333333,-142,0.269762858822337,1.528212,-11.3803568915677
0.221666666666667,-140,0.260756591479487,1.427874,-11.675294090858
0.23335,-138,0.251680352828742,1.330203,-11.9830137177257
0.243333333333333,-136,0.242008264321696,1.229928,-12.3233960615463
0.253333333333333,-134,0.231745550119091,1.127826,-12.6997719248799
0.265016666666667,-132,0.220633179735053,1.022259,-13.126583519486
0.275,-130,0.20952088201418,0.921879,-13.5754537268335
0.286666666666667,-128,0.197780181009119,0.821457,-14.0763445995308
0.296666666666667,-126,0.185145888423157,0.719859,-14.6497185596753
0.306683333333333,-124,0.172360088187492,0.623868,-15.2712658475644
0.31835,-122,0.159884333191217,0.536823,-15.9238817997407
0.335,-120,0.148616351724835,0.46382322,-16.5586680816062
0.345016666666667,-118,0.136154838327545,0.38930094,-17.3193384237378
0.356683333333333,-116,0.125670362456707,0.33165384,-18.0153426466245
0.36665,-114,0.11552735606773,0.28027797,-18.7463033141328
0.376683333333333,-112,0.105349655908313,0.23306955,-19.5473375708119
0.38835,-110,0.0958640182758891,0.19298811,-20.3668874179069
0.39835,-108,0.0874121273050828,0.16045848,-21.1685662085684
0.415,-106,0.0783377303730457,0.1288728,-22.1205803026206
0.425016666666667,-104,0.0698634382205743,0.1024989,-23.1150009008842
0.436683333333333,-102,0.0621007246334534,0.0809865,-24.1380666430146
0.446666666666667,-100,0.0539805520534942,0.0611919,-25.3552535654454
0.465016666666667,-98,0.04772315999596,0.0478275,-26.4254161435496
0.475,-96,0.041718820692824,0.03654966,-27.593359534075
0.485016666666667,-94,0.0399465893412692,0.03351033,-27.9704059007163
0.496666666666667,-92,0.0390562414986389,0.03203319,-28.1661910504253
0.506666666666667,-90,0.0391099731526372,0.03212139,-28.1542496434557
0.516666666666667,-88,0.0461945884276503,0.04481274,-26.7081779579967
0.528316666666667,-86,0.0506426697558492,0.05385828,-25.9096681492015
0.545016666666667,-84,0.0584328674634405,0.0717024,-24.6668560225562
0.555,-82,0.0695607648031561,0.1016127,-23.1527130336842
0.565,-80,0.0795996231146857,0.1330581,-21.9817797707742
0.576666666666667,-78,0.0878902724992931,0.1622187,-21.1211837803575
0.586666666666667,-76,0.0931477321248349,0.1822065,-20.616554288819
0.605,-74,0.0998710168166921,0.20945862,-20.011210568383
0.615,-72,0.104858094585015,0.23089962,-19.5879607655056
0.625,-70,0.114774082440244,0.27663489,-18.8031234101814
0.635016666666667,-68,0.129172094509611,0.35039403,-17.7766259666751
0.646666666666667,-66,0.145410419159014,0.44402799,-16.7480894732334
0.656666666666667,-64,0.163008588730778,0.5580078,-15.7557902505569
0.67335,-62,0.176669182372026,0.655452,-15.056784017565
0.685,-60,0.189541552172604,0.754446,-14.4459113444113
0.695,-58,0.197716969428524,0.820932,-14.0791210990174
0.705016666666667,-56,0.202190504228067,0.858501,-13.8847848936135
0.716666666666667,-54,0.205883462181886,0.890148,-13.7275707433659
0.726683333333333,-52,0.213798970998459,0.95991,-13.3998877871067
0.738333333333333,-50,0.22719595066814,1.083978,-12.8719882671565
0.748333333333333,-48,0.234661458275534,1.156386,-12.5911646956957
0.758333333333333,-46,0.251290668350418,1.326087,-11.9964727716556
0.770016666666667,-44,0.264813141667856,1.472646,-11.5412093263225
0.780016666666667,-42,0.271365067759283,1.546419,-11.3289211774313
0.79,-40,0.278691585807681,1.631049,-11.0975228641593
