Time t / min,Angle &J / °,Level A,Voltage U / mV,Level a / dB
0.00333333333333333,-180,0.191499347257373,0.770112,-14.3566540404872
0.01335,-178,0.158075931121724,0.524748,-16.0226850272602
0.0233333333333333,-176,0.186644046248467,0.731556,-14.579717181207
0.0350166666666667,-174,0.282350845580459,1.674162,-10.9842181461194
0.0516666666666667,-172,0.393376664279924,3.2496492,-8.10382813363378
0.0616833333333333,-170,0.488501504603619,5.01130812,-6.22268188598531
0.0800166666666667,-168,0.543773850051655,6.20949,-5.29163362718575
0.0900166666666667,-166,0.565932858208463,6.72588,-4.94470180164867
0.1,-164,0.546058604913429,6.26178,-5.25521489591704
0.111666666666667,-162,0.492270250980089,5.08893,-6.15592817691007
0.128333333333333,-160,0.410380555094902,3.5366562,-7.73626450836587
0.13835,-158,0.307603446014507,1.98701748,-10.2401760707345
0.155,-156,0.215777663348179,0.97776,-13.3198702835817
0.166666666666667,-154,0.167600715988924,0.58989,-15.5144826079842
0.176666666666667,-152,0.170323222139554,0.60921,-15.3745227119734
0.186683333333333,-150,0.184889155982713,0.717864,-14.6617712019086
0.198333333333333,-148,0.17574413219223,0.648606,-15.1023833289028
0.215,-146,0.136751160872586,0.39271848,-17.2813795655698
0.231683333333333,-144,0.0626107019606073,0.0823221,-24.0670285417999
0.24835,-142,0.0464820395421716,0.04537218,-26.6542964839218
0.27335,-140,0.16821102817592,0.59419395,-15.4829106916966
0.29,-138,0.300893668926417,1.901277,-10.4317390022106
0.306683333333333,-136,0.430786861452389,3.89712372,-7.31475101396859
0.32335,-134,0.540758726235648,6.14082,-5.33992927225133
0.333333333333333,-132,0.637949841288483,8.54658,-3.90426932551334
0.345,-130,0.718240906660154,10.83327,-2.87459727434485
0.355016666666667,-128,0.779307384797552,12.75372,-2.16582416643587
0.365,-126,0.819359505955719,14.09835,-1.73051006747072
0.376683333333333,-124,0.840886437041293,14.84889,-1.50525304709809
0.386666666666667,-122,0.849452765019927,15.15297,-1.4172153132157
0.396666666666667,-120,0.841676897627587,14.87682,-1.49709186376616
0.40835,-118,0.821078558969847,14.15757,-1.71230577125546
