"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,640,0.7,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",354638359.04603,0.198814928827964,2.38155195473926,0.0298222393241946
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,640,0.7,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",2814493.61684328,0.00567519169381829,2.05458888810042,0.000851278754072743
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,640,0.7,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",1909.41408094965,0.0299012445153061,2,0.000598024890306123
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,640,0.7,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",46643.7659535956,0.191969235265716,2.58279785581755,0.0230363082318859
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,640,0.7,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",96454.0544602497,0.153637439983524,3.65685481771393,0.0184364927980229
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,640,0.7,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",194.467803505677,0.14544159823446,2.434461262618,0.0174529917881352
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,640,0.7,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",535.386618312364,0.0121354590605006,3.61866642678632,0.000485418362420023
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,640,0.7,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",91.3830652279241,0.0206099360156425,2.00095788515068,0.000412198720312849
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,640,0.7,0.73,NA,0.52,2.5,0.005,0,0,0,2,"orange",0.203516397877358,0.000951300623374552,4.08667779661257,4.75650311687276e-06
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.7,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",10.6724542452329,0.289117397159503,4.01607288875949,0.0289117397159503
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.7,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",10.6811185708086,0.398599939076848,4.07796873215998,0.0398599939076848
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.7,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",10.6814302216848,1.75880373617144,4.26842219074476,0.175880373617144
