"","Species","Type","FeedType","Prop","W0","Wmax","Wmat","SearchCoef","SearchExp","PPMRscale","PPMR","FeedWidth","GrossGEscale","Carbon","Repro","Fmort","Fmort_W0","Fmort_Wmax","PlotColour","Abundance","Biomass","TrophicLevel","CarbonBiomass"
"1","Flagellates","Zooplankton","Heterotroph",0.1,-10.7,-6.8,-8.8,480,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,"seagreen3",316747671.293029,0.125688891271803,2.30306490550959,0.0188533336907704
"2","Ciliates","Zooplankton","Heterotroph",0.1,-9.3,-6.3,-8.3,480,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,"seagreen4",2184403.91478347,0.00494908998357578,2.07521228642553,0.000742363497536367
"3","Larvaceans","Zooplankton","FilterFeeder",0.1,-6.4,-3.2,-5.2,480,0.8,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,"lightgoldenrod4",2354.60197117604,0.0229986130578898,2,0.000459972261157797
"4","OmniCopepods","Zooplankton","Omnivore",0.04,-7.5,-3.5,-5.5,480,0.8,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,"cornflowerblue",39927.2404046584,0.120241248136756,2.39368841197148,0.0144289497764107
"5","CarnCopepods","Zooplankton","Carnivore",0.06,-7.5,-2.5,-4.5,480,0.8,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,"darkred",54694.8889473148,0.0626552850835706,3.50626170801301,0.00751863421002848
"6","Euphausiids","Zooplankton","Omnivore",0.1,-4.2,0.2,-1.8,480,0.8,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,"darkblue",134.522915703498,0.0574910573815796,2.29960658209448,0.00689892688578955
"7","Chaetognaths","Zooplankton","Carnivore",0.1,-5.9,-0.9,-2.9,480,0.8,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,"firebrick1",625.14684126742,0.0131399836049865,3.50757465679375,0.000525599344199458
"8","Salps","Zooplankton","FilterFeeder",0.01,-4.7,1.4,-0.6,480,0.8,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,"lightgoldenrod3",75.4177884166083,0.0142317247792474,2.00087958834853,0.000284634495584947
"9","Jellyfish","Zooplankton","Carnivore",0.01,-3,2,0,480,0.8,0.73,NA,0.52,2.5,0.005,0,0,0,2,"orange",0.12227924866312,0.000834257526888351,3.51351111053137,4.17128763444176e-06
"10","Fish_Small","Fish","Carnivore",NA,-3,2,0,640,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,"lightcoral",4.64680180881683,0.122931146496788,3.71346834176526,0.0122931146496788
"11","Fish_Med","Fish","Carnivore",NA,-3,4,2,640,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,"coral3",4.6494526296046,0.151183340765754,3.80512491476403,0.0151183340765754
"12","Fish_Large","Fish","Carnivore",NA,-3,7,4,640,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,"coral4",4.64955773242665,0.398719327067502,3.96681530786166,0.0398719327067502
