Merged spectral data

 274.41; 0.00602
 275.01; 0.00466
 275.61; 0.00261
 276.22; 0.00069
 276.82;-0.00099
 277.42;-0.00156
 278.03;-0.00191
 278.63;-0.00213
 279.24;-0.00171
 279.84; 0.00018
 280.44;-0.00115
 281.05;-0.00036
 281.65; 0.00028
 282.25; 0.00035
 282.86; 0.00036
 283.46; 0.00078
 284.06; 0.00141
 284.67; 0.00094
 285.27;-0.00073
 285.87;-0.00031
 286.48; 0.00001
 287.08; 0.00192
 287.68; 0.00053
 288.29; 0.00111
 288.89;-0.00045
 289.49; 0.00291
 290.10;-0.00056
 290.70;-0.00088
 291.30;-0.00129
 291.91; 0.00091
 292.51;-0.00019
 293.11; 0.00042
 293.72; 0.00336
 294.32; 0.00327
 294.92; 0.00098
 295.52;-0.00151
 296.13;-0.00136
 296.73;-0.00186
 297.33;-0.00088
 297.94;-0.00174
 298.54;-0.00239
 299.14;-0.00352
 299.74;-0.00099
 300.35; 0.00344
 300.95; 0.00077
 301.55; 0.00677
 302.15;-0.00106
 302.76; 0.00440
 303.36;-0.00201
 303.96; 0.00478
 304.56; 0.00408
 305.17; 0.00190
 305.77; 0.00094
 306.37; 0.00071
 306.97; 0.00532
 307.58; 0.00393
 308.18; 0.00297
 308.78; 0.00344
 309.38; 0.00267
 309.98; 0.00036
 310.59;-0.00659
 311.19;-0.00176
 311.79;-0.00496
 312.39; 0.00247
 313.00;-0.00325
 313.60; 0.00163
 314.20;-0.00527
 314.80; 0.00076
 315.40;-0.00344
 316.01; 0.00600
 316.61;-0.00176
 317.21; 0.00585
 317.81; 0.00137
 318.41; 0.00960
 319.01; 0.00788
 319.62; 0.01072
 320.22; 0.00643
 320.82; 0.01150
 321.42; 0.01187
 322.02; 0.01345
 322.62; 0.00427
 323.23;-0.00317
 323.83;-0.00744
 324.43;-0.01199
 325.03;-0.01202
 325.63;-0.00391
 326.23;-0.00098
 326.83; 0.00475
 327.44;-0.00052
 328.04; 0.00409
 328.64;-0.00460
 329.24; 0.00164
 329.84; 0.00286
 330.44; 0.01655
 331.04; 0.00097
 331.64;-0.00313
 332.24;-0.02449
 332.85;-0.01388
 333.45;-0.01684
 334.05; 0.00317
 334.65; 0.00483
 335.25; 0.00894
 335.85;-0.00051
 336.45; 0.00758
 337.05; 0.00757
 337.65; 0.01380
 338.25;-0.00305
 338.85; 0.00741
 339.46; 0.00259
 340.06; 0.01094
 340.66; 0.00151
 341.26; 0.01266
