Merged spectral data

 274.41; 0.01340
 275.01; 0.01582
 275.61; 0.01912
 276.22; 0.02140
 276.82; 0.02126
 277.42; 0.02176
 278.03; 0.02409
 278.63; 0.02539
 279.24; 0.02418
 279.84; 0.02371
 280.44; 0.02608
 281.05; 0.02735
 281.65; 0.02670
 282.25; 0.02906
 282.86; 0.03042
 283.46; 0.02976
 284.06; 0.02770
 284.67; 0.02958
 285.27; 0.03378
 285.87; 0.03716
 286.48; 0.03939
 287.08; 0.03921
 287.68; 0.03961
 288.29; 0.03728
 288.89; 0.03746
 289.49; 0.04137
 290.10; 0.04423
 290.70; 0.04734
 291.30; 0.04496
 291.91; 0.04503
 292.51; 0.04760
 293.11; 0.04737
 293.72; 0.04881
 294.32; 0.04989
 294.92; 0.05156
 295.52; 0.05028
 296.13; 0.05234
 296.73; 0.05458
 297.33; 0.05640
 297.94; 0.05668
 298.54; 0.05665
 299.14; 0.05690
 299.74; 0.05926
 300.35; 0.06091
 300.95; 0.06247
 301.55; 0.06209
 302.15; 0.06329
 302.76; 0.06305
 303.36; 0.06455
 303.96; 0.06659
 304.56; 0.06801
 305.17; 0.06937
 305.77; 0.07550
 306.37; 0.07855
 306.97; 0.08195
 307.58; 0.08117
 308.18; 0.08360
 308.78; 0.08051
 309.38; 0.09036
 309.98; 0.09131
 310.59; 0.08580
 311.19; 0.07842
 311.79; 0.08122
 312.39; 0.08380
 313.00; 0.09260
 313.60; 0.09504
 314.20; 0.10757
 314.80; 0.11304
 315.40; 0.11546
 316.01; 0.11354
 316.61; 0.10883
 317.21; 0.10949
 317.81; 0.11632
 318.41; 0.12361
 319.01; 0.12671
 319.62; 0.13044
 320.22; 0.13048
 320.82; 0.12839
 321.42; 0.12778
 322.02; 0.12917
 322.62; 0.13161
 323.23; 0.13231
 323.83; 0.13820
 324.43; 0.13879
 325.03; 0.13736
 325.63; 0.13415
 326.23; 0.14407
 326.83; 0.15110
 327.44; 0.15890
 328.04; 0.16321
 328.64; 0.17256
 329.24; 0.17393
 329.84; 0.16809
 330.44; 0.17197
 331.04; 0.17953
 331.64; 0.19633
 332.24; 0.19436
 332.85; 0.18319
 333.45; 0.18167
 334.05; 0.18665
 334.65; 0.19955
 335.25; 0.20239
 335.85; 0.21361
 336.45; 0.22382
 337.05; 0.21104
 337.65; 0.20600
 338.25; 0.20936
 338.85; 0.22187
 339.46; 0.22882
 340.06; 0.22845
 340.66; 0.24235
 341.26; 0.24558
 341.86; 0.24026
 342.46; 0.24090
 343.06; 0.25576
 343.66; 0.26989
 344.26; 0.28788
 344.86; 0.29146
 345.46; 0.29601
 346.06; 0.28640
 346.66; 0.28412
 347.26; 0.28660
 347.86; 0.29388
 348.46; 0.29498
 349.06; 0.28792
 349.66; 0.30950
 350.26; 0.31790
 350.86; 0.32296
 351.46; 0.31410
 352.06; 0.30525
 352.66; 0.32235
 353.26; 0.32933
 353.86; 0.34196
 354.46; 0.34527
 355.06; 0.35567
 355.66; 0.36561
 356.26; 0.35744
 356.86; 0.36187
 357.46; 0.36885
 358.06; 0.39596
 358.66; 0.41915
 359.26; 0.42292
 359.86; 0.42171
 360.46; 0.42169
 361.06; 0.41911
 361.66; 0.43061
 362.26; 0.43514
 362.86; 0.46513
 363.46; 0.47637
 364.06; 0.47343
 364.66; 0.47541
 365.26; 0.48896
 365.86; 0.51279
 366.46; 0.51433
 367.06; 0.51201
 367.66; 0.51787
 368.25; 0.53962
 368.85; 0.54579
 369.45; 0.55958
 370.05; 0.56506
 370.65; 0.58407
 371.25; 0.57287
 371.85; 0.57705
 372.45; 0.58196
 373.05; 0.61121
 373.65; 0.61030
 374.25; 0.62658
 374.84; 0.64064
 375.44; 0.66943
 376.04; 0.67197
 376.64; 0.68364
 377.24; 0.68717
 377.84; 0.70659
 378.44; 0.71800
 379.04; 0.73189
 379.63; 0.74236
 380.23; 0.76773
 380.83; 0.77869
 381.43; 0.79129
 382.03; 0.79674
 382.63; 0.80321
 383.23; 0.81203
 383.82; 0.82961
 384.42; 0.83959
 385.02; 0.84829
 385.62; 0.86103
 386.22; 0.88171
 386.82; 0.91472
 387.41; 0.93599
 388.01; 0.94974
 388.61; 0.95254
 389.21; 0.97643
 389.81; 0.99983
 390.41; 1.01634
 391.00; 1.02927
 391.60; 1.03569
 392.20; 1.05353
 392.80; 1.07877
 393.40; 1.10056
 393.99; 1.11750
 394.59; 1.14279
 395.19; 1.16456
 395.79; 1.17930
 396.39; 1.19891
 396.98; 1.20271
 397.58; 1.21443
 398.18; 1.22316
 398.78; 1.24112
 399.37; 1.26637
 399.97; 1.28397
 400.57; 1.30351
 401.17; 1.31668
 401.76; 1.34261
 402.36; 1.36451
 402.96; 1.38505
 403.56; 1.40304
 404.15; 1.40714
 404.75; 1.42797
 405.35; 1.44540
 405.95; 1.47798
 406.54; 1.49019
 407.14; 1.51251
 407.74; 1.53236
 408.33; 1.55368
 408.93; 1.58487
 409.53; 1.60875
 410.13; 1.63093
 410.72; 1.64935
 411.32; 1.67559
 411.92; 1.69561
 412.51; 1.71035
 413.11; 1.72244
 413.71; 1.74521
 414.30; 1.77525
 414.90; 1.80188
 415.50; 1.82964
 416.09; 1.84397
 416.69; 1.86374
 417.29; 1.89321
 417.88; 1.92335
 418.48; 1.95213
 419.08; 1.97437
 419.67; 2.00843
 420.27; 2.03155
 420.87; 2.04540
 421.46; 2.06496
 422.06; 2.09515
 422.66; 2.12937
 423.25; 2.14499
 423.85; 2.17222
 424.45; 2.20141
 425.04; 2.24166
 425.64; 2.27168
