0.01	-0.0787402	-0.0787402	-0.0787402	0.0787402	0.0787402
0.02	-0.23622	-0.0787402	-0.0787402	0.0787402	0.23622
0.03	-0.23622	-0.0787402	-0.0787402	0.0787402	0.23622
0.04	-0.393701	-0.0787402	-0.0787402	0.0787402	0.393701
0.05	-0.393701	-0.0787402	0.0787402	0.0787402	0.393701
0.06	-0.551181	-0.0787402	0.0787402	0.0787402	0.551181
0.07	-0.551181	-0.0787402	-0.0787402	0.0787402	0.551181
0.08	-0.708661	-0.0787402	-0.0787402	0.0787402	0.708661
0.09	-0.866142	-0.23622	0.0787402	0.23622	0.866142
0.1	-0.866142	-0.23622	0.0787402	0.23622	0.866142
0.11	-1.02362	-0.23622	-0.0787402	0.23622	1.02362
0.12	-1.02362	-0.23622	-0.0787402	0.23622	1.02362
0.13	-1.1811	-0.23622	-0.0787402	0.23622	1.1811
0.14	-1.1811	-0.23622	-0.0787402	0.23622	1.1811
0.15	-1.33858	-0.23622	-0.0787402	0.23622	1.33858
0.16	-1.33858	-0.23622	0.0787402	0.23622	1.33858
0.17	-1.49606	-0.393701	0.0787402	0.393701	1.49606
0.18	-1.65354	-0.393701	0.0787402	0.393701	1.65354
0.19	-1.65354	-0.393701	-0.0787402	0.393701	1.65354
0.2	-1.81102	-0.393701	-0.0787402	0.393701	1.81102
0.21	-1.81102	-0.393701	0.0787402	0.393701	1.81102
0.22	-1.9685	-0.393701	0.0787402	0.393701	1.9685
0.23	-1.9685	-0.393701	-0.0787402	0.393701	1.9685
0.24	-2.12598	-0.393701	-0.0787402	0.393701	2.12598
0.25	-2.28346	-0.551181	-0.0787402	0.551181	2.28346
0.26	-2.28346	-0.551181	-0.0787402	0.551181	2.28346
0.27	-2.44094	-0.551181	-0.0787402	0.551181	2.44094
0.28	-2.44094	-0.551181	0.0787402	0.551181	2.44094
0.29	-2.59843	-0.551181	0.0787402	0.551181	2.59843
0.3	-2.59843	-0.551181	-0.0787402	0.551181	2.59843
0.31	-2.75591	-0.551181	-0.0787402	0.551181	2.75591
0.32	-2.75591	-0.708661	0.0787402	0.708661	2.75591
0.33	-2.91339	-0.708661	0.0787402	0.708661	2.91339
0.34	-3.07087	-0.708661	-0.0787402	0.708661	3.07087
0.35	-3.07087	-0.708661	-0.0787402	0.708661	3.07087
0.36	-3.22835	-0.708661	0.0787402	0.708661	3.22835
0.37	-3.22835	-0.708661	0.0787402	0.708661	3.22835
0.38	-3.38583	-0.708661	0.0787402	0.708661	3.38583
0.39	-3.38583	-0.708661	0.0787402	0.708661	3.38583
0.4	-3.54331	-0.866142	-0.0787402	0.866142	3.54331
0.41	-3.70079	-0.866142	-0.0787402	0.866142	3.70079
0.42	-3.70079	-0.866142	-0.0787402	0.866142	3.70079
0.43	-3.85827	-0.866142	-0.0787402	0.866142	3.85827
0.44	-3.85827	-0.866142	-0.0787402	0.866142	3.85827
0.45	-4.01575	-0.866142	0.0787402	0.866142	4.01575
0.46	-4.01575	-0.866142	0.0787402	0.866142	4.01575
0.47	-4.17323	-0.866142	0.0787402	0.866142	4.17323
0.48	-4.33071	-1.02362	-0.0787402	1.02362	4.33071
0.49	-4.33071	-1.02362	-0.0787402	1.02362	4.33071
0.5	-4.48819	-1.02362	0.0787402	1.02362	4.48819
0.51	-4.48819	-1.02362	0.0787402	1.02362	4.48819
0.52	-4.64567	-1.02362	-0.0787402	1.02362	4.64567
0.53	-4.64567	-1.02362	-0.0787402	1.02362	4.64567
0.54	-4.80315	-1.02362	-0.0787402	1.02362	4.80315
0.55	-4.80315	-1.02362	-0.0787402	1.02362	4.80315
0.56	-4.96063	-1.1811	-0.0787402	1.1811	4.96063
0.57	-5.11811	-1.1811	-0.0787402	1.1811	5.11811
0.58	-5.11811	-1.1811	-0.0787402	1.1811	5.11811
0.59	-5.27559	-1.1811	-0.0787402	1.1811	5.27559
0.6	-5.27559	-1.1811	-0.0787402	1.1811	5.27559
0.61	-5.43307	-1.1811	-0.0787402	1.1811	5.43307
0.62	-5.43307	-1.1811	0.0787402	1.1811	5.43307
0.63	-5.59055	-1.1811	0.0787402	1.1811	5.59055
0.64	-5.74803	-1.33858	-0.0787402	1.33858	5.74803
0.65	-5.74803	-1.33858	-0.0787402	1.33858	5.74803
0.66	-5.90551	-1.33858	-0.0787402	1.33858	5.90551
0.67	-5.90551	-1.33858	-0.0787402	1.33858	5.90551
0.68	-6.06299	-1.33858	0.0787402	1.33858	6.06299
0.69	-6.06299	-1.33858	0.0787402	1.33858	6.06299
0.7	-6.22047	-1.33858	-0.0787402	1.33858	6.22047
0.71	-6.37795	-1.33858	0.0787402	1.33858	6.37795
0.72	-6.37795	-1.49606	0.0787402	1.49606	6.37795
0.73	-6.53543	-1.49606	-0.0787402	1.49606	6.53543
0.74	-6.53543	-1.49606	-0.0787402	1.49606	6.53543
0.75	-6.69291	-1.49606	0.0787402	1.49606	6.69291
0.76	-6.69291	-1.49606	0.0787402	1.49606	6.69291
0.77	-6.85039	-1.49606	0.0787402	1.49606	6.85039
0.78	-7.00787	-1.49606	-0.0787402	1.49606	7.00787
0.79	-7.00787	-1.49606	-0.0787402	1.49606	7.00787
0.8	-7.16535	-1.65354	0.0787402	1.65354	7.16535
0.81	-7.16535	-1.65354	0.0787402	1.65354	7.16535
0.82	-7.32283	-1.65354	0.0787402	1.65354	7.32283
0.83	-7.32283	-1.65354	-0.0787402	1.65354	7.32283
0.84	-7.48031	-1.65354	-0.0787402	1.65354	7.48031
0.85	-7.6378	-1.65354	0.0787402	1.65354	7.6378
