-2 -3.0621e-05
-1.96 0.000370204
-1.92 0.000640417
-1.88 0.000796668
-1.84 0.00085562
-1.8 0.000833996
-1.76 0.000748632
-1.72 0.000616531
-1.68 0.00045493
-1.64 0.00028136
-1.6 0.000113709
-1.56 -2.96982e-05
-1.52 -0.000133285
-1.48 -0.000199012
-1.44 -0.000234464
-1.4 -0.0002465
-1.36 -0.000241171
-1.32 -0.000223643
-1.28 -0.000198124
-1.24 -0.000167784
-1.2 -0.00013469
-1.16 -9.97345e-05
-1.12 -6.25761e-05
-1.08 -2.23211e-05
-1.04 1.73564e-05
-1 5.13515e-05
-0.96 7.59711e-05
-0.92 8.89799e-05
-0.88 8.96205e-05
-0.84 7.86235e-05
-0.8 5.82059e-05
-0.76 3.20601e-05
-0.72 5.33025e-06
-0.68 -1.54233e-05
-0.64 -2.30505e-05
-0.6 -1.81491e-05
-0.56 -5.9221e-06
-0.52 9.48261e-06
-0.48 2.49724e-05
-0.44 3.84018e-05
-0.4 4.8453e-05
-0.36 5.4506e-05
-0.32 5.64987e-05
-0.28 5.47783e-05
-0.24 4.99447e-05
-0.2 4.27454e-05
-0.16 3.48896e-05
-0.12 2.87346e-05
-0.08 2.62401e-05
-0.04 2.87616e-05
0 3.6874e-05
0.04 5.01969e-05
0.08 6.72235e-05
0.12 8.51541e-05
0.16 9.97365e-05
0.2 0.000105115
0.24 9.40084e-05
0.28 6.7051e-05
0.32 3.41951e-05
0.36 3.92139e-06
0.4 -1.74832e-05
0.44 -2.60013e-05
0.48 -1.99452e-05
0.52 0
0.56 3.07501e-05
0.6 6.68131e-05
0.64 0.000100298
0.68 0.000121086
0.72 0.000125366
0.76 0.000120455
0.8 0.000112628
0.84 0.000106056
0.88 0.000102916
0.92 0.000103505
0.96 0.000106377
1 0.000108478
1.04 0.000105304
1.08 9.10584e-05
1.12 5.88481e-05
1.16 6.00869e-06
1.2 -6.00469e-05
1.24 -0.000131144
1.28 -0.000199534
1.32 -0.000257723
1.36 -0.000298293
1.4 -0.000313737
1.44 -0.000296298
1.48 -0.000237806
1.52 -0.000129534
1.56 3.79309e-05
1.6 0.000265333
1.64 0.000526949
1.68 0.000793193
1.72 0.00103564
1.76 0.00122708
1.8 0.00134164
1.84 0.0013548
1.88 0.00124346
1.92 0.00098596
1.96 0.000562138
