0 -1 0 1
1 -2.5 1.83697e-16 2.5
2 -3.94889 -0.388229 3.96793
3 -5.24793 -1.13823 5.36994
4 -6.30859 -2.19889 6.68082
5 -7.05859 -3.49793 7.87776
6 -7.44682 -4.94682 8.94014
7 -7.44682 -6.44682 9.8497
8 -7.05859 -7.8957 10.5908
9 -6.30859 -9.19474 11.1509
10 -5.24793 -10.2554 11.5202
11 -3.94889 -11.0054 11.6924
12 -2.5 -11.3936 11.6647
13 -1 -11.3936 11.4374
14 0.448889 -11.0054 11.0146
15 1.74793 -10.2554 10.4033
16 2.80859 -9.19474 9.61413
17 3.55859 -7.8957 8.66058
18 3.94682 -6.44682 7.55902
19 3.94682 -4.94682 6.32838
20 3.55859 -3.49793 4.98989
21 2.80859 -2.19889 3.56697
22 1.74793 -1.13823 2.08586
23 0.448889 -0.388229 0.593483
24 -1 2.10942e-15 1
25 -2.5 2.29312e-15 2.5
26 -3.94889 -0.388229 3.96793
27 -5.24793 -1.13823 5.36994
28 -6.30859 -2.19889 6.68082
29 -7.05859 -3.49793 7.87776
30 -7.44682 -4.94682 8.94014
31 -7.44682 -6.44682 9.8497
32 -7.05859 -7.8957 10.5908
33 -6.30859 -9.19474 11.1509
34 -5.24793 -10.2554 11.5202
35 -3.94889 -11.0054 11.6924
36 -2.5 -11.3936 11.6647
37 -1 -11.3936 11.4374
38 0.448889 -11.0054 11.0146
39 1.74793 -10.2554 10.4033
40 2.80859 -9.19474 9.61413
41 3.55859 -7.8957 8.66058
42 3.94682 -6.44682 7.55902
43 3.94682 -4.94682 6.32838
44 3.55859 -3.49793 4.98989
45 2.80859 -2.19889 3.56697
46 1.74793 -1.13823 2.08586
47 0.448889 -0.388229 0.593483
48 -1 3.88578e-15 1
49 -2.5 4.06948e-15 2.5
50 -3.94889 -0.388229 3.96793
51 -5.24793 -1.13823 5.36994
52 -6.30859 -2.19889 6.68082
53 -7.05859 -3.49793 7.87776
54 -7.44682 -4.94682 8.94014
55 -7.44682 -6.44682 9.8497
56 -7.05859 -7.8957 10.5908
57 -6.30859 -9.19474 11.1509
58 -5.24793 -10.2554 11.5202
59 -3.94889 -11.0054 11.6924
60 -2.5 -11.3936 11.6647
61 -1 -11.3936 11.4374
62 0.448889 -11.0054 11.0146
63 1.74793 -10.2554 10.4033
64 2.80859 -9.19474 9.61413
65 3.55859 -7.8957 8.66058
66 3.94682 -6.44682 7.55902
67 3.94682 -4.94682 6.32838
68 3.55859 -3.49793 4.98989
69 2.80859 -2.19889 3.56697
70 1.74793 -1.13823 2.08586
71 0.448889 -0.388229 0.593483
72 -1 5.66214e-15 1
73 -2.5 5.84583e-15 2.5
74 -3.94889 -0.388229 3.96793
75 -5.24793 -1.13823 5.36994
76 -6.30859 -2.19889 6.68082
77 -7.05859 -3.49793 7.87776
78 -7.44682 -4.94682 8.94014
79 -7.44682 -6.44682 9.8497
80 -7.05859 -7.8957 10.5908
81 -6.30859 -9.19474 11.1509
82 -5.24793 -10.2554 11.5202
83 -3.94889 -11.0054 11.6924
84 -2.5 -11.3936 11.6647
85 -1 -11.3936 11.4374
86 0.448889 -11.0054 11.0146
87 1.74793 -10.2554 10.4033
88 2.80859 -9.19474 9.61413
89 3.55859 -7.8957 8.66058
90 3.94682 -6.44682 7.55902
91 3.94682 -4.94682 6.32838
92 3.55859 -3.49793 4.98989
93 2.80859 -2.19889 3.56697
94 1.74793 -1.13823 2.08586
95 0.448889 -0.388229 0.593483
96 -1 7.43849e-15 1
97 -2.5 7.62219e-15 2.5
98 -3.94889 -0.388229 3.96793
99 -5.24793 -1.13823 5.36994
100 -6.30859 -2.19889 6.68082
101 -7.05859 -3.49793 7.87776
102 -7.44682 -4.94682 8.94014
103 -7.44682 -6.44682 9.8497
104 -7.05859 -7.8957 10.5908
105 -6.30859 -9.19474 11.1509
106 -5.24793 -10.2554 11.5202
107 -3.94889 -11.0054 11.6924
108 -2.5 -11.3936 11.6647
109 -1 -11.3936 11.4374
110 0.448889 -11.0054 11.0146
111 1.74793 -10.2554 10.4033
112 2.80859 -9.19474 9.61413
113 3.55859 -7.8957 8.66058
114 3.94682 -6.44682 7.55902
115 3.94682 -4.94682 6.32838
116 3.55859 -3.49793 4.98989
117 2.80859 -2.19889 3.56697
118 1.74793 -1.13823 2.08586
119 0.448889 -0.388229 0.593483
120 -1 9.21485e-15 1
121 -2.5 9.39855e-15 2.5
122 -3.94889 -0.388229 3.96793
123 -5.24793 -1.13823 5.36994
124 -6.30859 -2.19889 6.68082
125 -7.05859 -3.49793 7.87776
126 -7.44682 -4.94682 8.94014
127 -7.44682 -6.44682 9.8497
128 -7.05859 -7.8957 10.5908
129 -6.30859 -9.19474 11.1509
130 -5.24793 -10.2554 11.5202
131 -3.94889 -11.0054 11.6924
132 -2.5 -11.3936 11.6647
133 -1 -11.3936 11.4374
134 0.448889 -11.0054 11.0146
135 1.74793 -10.2554 10.4033
136 2.80859 -9.19474 9.61413
137 3.55859 -7.8957 8.66058
138 3.94682 -6.44682 7.55902
139 3.94682 -4.94682 6.32838
140 3.55859 -3.49793 4.98989
141 2.80859 -2.19889 3.56697
142 1.74793 -1.13823 2.08586
143 0.448889 -0.388229 0.593483
144 -1 1.09912e-14 1
145 -2.5 1.11749e-14 2.5
146 -3.94889 -0.388229 3.96793
147 -5.24793 -1.13823 5.36994
148 -6.30859 -2.19889 6.68082
149 -7.05859 -3.49793 7.87776
