Model 			WWZooPlank 	WWFish
Default			0.3740052	1.197249
480SearchCoeff		0.2915922	0.6728338
800SearchCoeff		0.4766575	1.565289
SearchExp0.7		0.5546462	2.446521
SearchExp0.9		0.1362976	0.2647695
3e0PPMR			0.05549187	0.08021405
1e6PPMR			1.409222	1.324345
3degAbove		0.3656665	1.246488
chlo0.15		0.2504076	0.5528456
