Time t / min,Angle &J / °,Level A,Voltage U / mV,Level a / dB
0.00333333333333333,-180,0.0704840407468244,0.104328,-23.0381841283148
0.0133333333333333,-178,0.0657213816044672,0.0907053,-23.6458663067817
0.0233333333333333,-176,0.0528715424401445,0.0587034,-25.5355603916814
0.0416666666666667,-174,0.0406643578579571,0.03472539,-27.8157216274624
0.0516833333333333,-172,0.0389756334137112,0.0319011,-28.1841363626314
0.0683333333333333,-170,0.0559115372709426,0.0656481,-25.0499713356138
0.0783333333333333,-168,0.0824220844191652,0.1426614,-21.6791281310273
0.0966666666666667,-166,0.113763306913961,0.27178389,-18.8799558439579
0.106666666666667,-164,0.145983012710384,0.44753184,-16.7139535576491
0.123333333333333,-162,0.178373204265663,0.668157,-14.9734077204543
0.135,-160,0.214296523536897,0.964383,-13.3796974863952
0.145,-158,0.247080958392184,1.282029,-12.1432144552809
0.155016666666667,-156,0.278131263974405,1.624497,-11.1150038107486
0.173333333333333,-154,0.306641419250564,1.97460816,-10.2673836734525
0.183333333333333,-152,0.329319297946537,2.2774752,-9.64765638204928
0.193333333333333,-150,0.350239974874371,2.57602884,-9.11268573863402
0.205016666666667,-148,0.367038308627315,2.82905952,-8.70577210148741
0.215,-146,0.378816472714691,3.01354032,-8.43142288199487
0.225016666666667,-144,0.388872472669383,3.1756578,-8.20385596815957
0.236683333333333,-142,0.394715897830326,3.27181344,-8.07430762658977
0.246683333333333,-140,0.395731322995792,3.28866888,-8.0519914603936
0.256666666666667,-138,0.39074508314245,3.20631612,-8.16212956253058
0.268333333333333,-136,0.385718965050981,3.12436152,-8.27458014388722
0.278333333333333,-134,0.378708014174509,3.01181496,-8.43391008586238
0.288333333333333,-132,0.369697606159412,2.87020272,-8.64306723063273
0.300016666666667,-130,0.357875397310293,2.6895708,-8.92536313639903
0.310016666666667,-128,0.344242879374432,2.48856636,-9.26270068622106
0.321683333333333,-126,0.328949661802532,2.27236548,-9.65741111540856
0.331666666666667,-124,0.31212625650528,2.0458788,-10.1133939265509
0.341683333333333,-122,0.296103630507969,1.84122456,-10.5711253544152
0.353333333333333,-120,0.27711217945085,1.61261436,-11.1468877195011
0.370016666666667,-118,0.258170486307014,1.399692,-11.7618681435317
0.38,-116,0.238901653405748,1.198554,-12.4356168909373
0.39,-114,0.2189520495451,1.00674,-13.1930197030236
0.401683333333333,-112,0.194427364329201,0.793842,-14.2248522222664
0.411666666666667,-110,0.173919521618477,0.635208,-15.1930333564552
0.43,-108,0.155793581382546,0.50970444,-16.1490087801964
0.44,-106,0.139988356658688,0.41153154,-17.078161693459
0.450016666666667,-104,0.123386547078683,0.31970904,-18.1746437830393
0.461683333333333,-102,0.104203598786222,0.22802619,-19.6423456387704
0.478333333333333,-100,0.0827804324704818,0.1439046,-21.6414461808233
0.48835,-98,0.0668273895943871,0.0937839,-23.5009100583566
0.498333333333333,-96,0.0539694357947163,0.0611667,-25.357042441928
0.510016666666667,-94,0.0512005859341473,0.0550515,-25.8145013795026
0.52,-92,0.0530433784746032,0.0590856,-25.5073764469111
0.530016666666667,-90,0.0645282883702954,0.0874419,-23.8049970902934
0.541683333333333,-88,0.0785251552051952,0.1294902,-22.0998239308863
0.551666666666667,-86,0.0946572765295939,0.18816,-20.4769199033787
0.57,-84,0.113928486341213,0.2725737,-18.867353452745
0.580016666666667,-82,0.134152264237321,0.37793343,-17.4480398571609
0.590016666666667,-80,0.155878734919167,0.51026178,-16.1442625502549
0.606683333333333,-78,0.17649645888799,0.654171,-15.0652800719065
0.61835,-76,0.19876116320851,0.829626,-14.0333694060126
0.62835,-74,0.221993243140416,1.034901,-13.0732048813918
0.638333333333333,-72,0.245399674001413,1.264641,-12.2025203708503
0.65,-70,0.267621000670725,1.504041,-11.4495961949488
0.66,-68,0.289793029591811,1.76358,-10.7582412969808
0.676666666666667,-66,0.312055379700463,2.04494976,-10.1153665193716
0.68835,-64,0.334946980879064,2.35597908,-9.50047864935026
0.69835,-62,0.357194848787045,2.67935136,-8.94189625655967
0.70835,-60,0.378060788762865,3.00152916,-8.44876727829774
0.719983333333333,-58,0.398175237803658,3.32941392,-7.99851503783557
0.73,-56,0.416684772939929,3.6461502,-7.6038473966137
0.741666666666667,-54,0.433032977958954,3.93786876,-7.26958056714852
0.751666666666667,-52,0.446689914817875,4.19016948,-6.99987705481171
0.761666666666667,-50,0.456828983318703,4.38254712,-6.80492700522342
0.773333333333333,-48,0.463531056133243,4.51208184,-6.67842326467396
0.78335,-46,0.467045650873659,4.58076444,-6.61281335426401
0.793333333333333,-44,0.469636582902141,4.63172892,-6.56476161111522
0.805,-42,0.470617934209907,4.65110604,-6.54663053682544
0.815016666666667,-40,0.466653061706446,4.57306668,-6.62011760848333
0.825,-38,0.454974856448134,4.34704452,-6.84025206718991
0.836666666666667,-36,0.439152365358539,4.0499508,-7.14769547425003
0.846666666666667,-34,0.420327967187528,3.7101876,-7.52823425122923
0.858333333333333,-32,0.398056176939889,3.32742312,-8.00111264830779
0.868333333333333,-30,0.372371857153572,2.9118768,-8.58046298478923
0.878333333333333,-28,0.345475324733909,2.5064172,-9.23165932554071
0.890016666666667,-26,0.317053244739744,2.11097796,-9.9773559572297
0.900016666666667,-24,0.286597069070847,1.72489548,-10.85456510591
0.916683333333333,-22,0.253337719260279,1.34778,-11.9260028724051
0.926683333333333,-20,0.216540989191423,0.98469,-13.2891976726115
0.938333333333333,-18,0.179412931529475,0.675969,-14.9229251512016
0.955,-16,0.144494809595362,0.43845375,-16.8029550587824
0.965,-14,0.110704200462313,0.25736382,-19.1167180064554
0.98335,-12,0.0788137043920662,0.1304436,-22.0679651871714
0.993333333333333,-10,0.0550109080092303,0.0635502,-25.1910237306561
1.01001666666667,-8,0.0448510869433507,0.04224402,-26.9645405517158
1.02,-6,0.0385726587105426,0.03124485,-28.274408506826
1.03166666666667,-4,0.0355785047465461,0.02658243,-28.9762461581895
1.04166666666667,-2,0.0360592567865728,0.02730567,-28.8596645743559
1.05333333333333,0,0.0390202511524465,0.03197418,-28.1741987922331
1.06333333333333,2,0.0472811801883159,0.04694571,-26.5062338308286
1.08,4,0.0582923665671587,0.071358,-24.6877662546697
1.09001666666667,6,0.077656294014072,0.1266405,-22.196466782017
1.10835,8,0.101985979428547,0.21842394,-19.829190579535
1.11833333333333,10,0.129003178255421,0.34947822,-17.7879917968386
1.12833333333333,12,0.16080606331852,0.54303039,-15.8739515973073
1.14666666666667,14,0.192171798139061,0.77553,-14.3262069234902
1.15666666666667,16,0.229176787655295,1.102962,-12.7965874464604
1.16666666666667,18,0.263171047039753,1.454439,-11.595237833268
1.17833333333333,20,0.296565338500641,1.846971,-10.5575921826436
1.19501666666667,22,0.331018126391894,2.301033,-9.60296447636274
