Time t / min,Angle &J / °,Level A,Voltage U / mV,Level a / dB
0.00335,-180,0.0575569283405569,0.0695688,-24.7980478250568
0.01335,-178,0.0486959957286017,0.0497973,-26.2501349869889
0.0316833333333333,-176,0.0495823557326596,0.05162661,-26.0934568618156
0.0416666666666667,-174,0.0390343438525614,0.03199728,-28.1710623301395
0.0516833333333333,-172,0.0413211810092596,0.03585624,-27.6765454862842
0.0700166666666667,-170,0.0622888433027938,0.0814779,-24.1117946770679
0.08,-168,0.0931139087354838,0.1820742,-20.6197088431219
0.0966833333333333,-166,0.123840300387233,0.32206482,-18.1427600646902
0.106666666666667,-164,0.154902614567992,0.50389122,-16.1988250363112
0.125016666666667,-162,0.188761754600872,0.748251,-14.4817198880847
0.135016666666667,-160,0.217821027451438,0.996366,-13.2380039548438
0.145016666666667,-158,0.251894819319493,1.332471,-11.9756152895053
0.156666666666667,-156,0.282614578534088,1.677291,-10.9761087808458
0.173333333333333,-154,0.312106007632022,2.04561336,-10.1139574330807
0.183333333333333,-152,0.336748808461144,2.38139496,-9.45387864585846
0.195,-150,0.354548727257623,2.6398008,-9.0064813859318
0.205,-148,0.373824397277652,2.93463828,-8.54664716469245
0.215016666666667,-146,0.383772432569094,3.09290688,-8.31852450098004
0.226666666666667,-144,0.391395554394784,3.21700008,-8.14768223031962
0.236666666666667,-142,0.397134234233212,3.3120276,-8.02125347515474
0.246666666666667,-140,0.395619514179976,3.2868108,-8.0544458939914
0.25835,-138,0.392254458228329,3.23113476,-8.12864223344591
0.26835,-136,0.3865618708564,3.13803168,-8.25561971040765
0.278333333333333,-134,0.379329144675175,3.0217026,-8.41967576469734
0.29,-132,0.36983006908579,2.87225988,-8.63995562734737
0.300016666666667,-130,0.358726469611597,2.70237828,-8.9047315307613
0.311666666666667,-128,0.34297375992924,2.470251,-9.29478210957383
0.321683333333333,-126,0.328016523974022,2.25949164,-9.68208555930423
0.331666666666667,-124,0.315284189264226,2.08748652,-10.0259561503745
0.34335,-122,0.300920188754427,1.90161216,-10.4309734887664
0.35335,-120,0.279055335014402,1.63530948,-11.0861934034469
0.370016666666667,-118,0.25596484133568,1.375878,-11.8363936830229
0.381666666666667,-116,0.241136890582922,1.221087,-12.3547268707578
0.391683333333333,-114,0.223727512836486,1.051134,-13.0056121072185
0.401666666666667,-112,0.200800896412342,0.846741,-13.9446870550359
0.41335,-110,0.183161131247871,0.704508,-14.7433336565458
0.423333333333333,-108,0.16047429700734,0.540792,-15.8918903632244
0.43335,-106,0.162185079461706,0.552384,-15.7997820414004
0.451683333333333,-104,0.143601949847486,0.43305192,-16.8567932628417
0.461683333333333,-102,0.112594848905267,0.2662296,-18.9696295508284
0.471683333333333,-100,0.0947333098756715,0.1884624,-20.4699457733456
0.490016666666667,-98,0.0768433471420916,0.1240029,-22.2878745280338
0.5,-96,0.0669604360798225,0.0941577,-23.4836345332577
0.51,-94,0.0598748695196908,0.075285,-24.4551083999618
0.521683333333333,-92,0.0569262681018175,0.0680526,-24.8937457233516
0.531666666666667,-90,0.0551117047459067,0.0637833,-25.1751230985653
0.541666666666667,-88,0.0712853421118255,0.1067136,-22.9399952358902
